timestamp,Odessa Temperature [2 m elevation corrected],Odessa Precipitation Total,Odessa Wind Speed [10 m],Odessa Wind Direction [10 m]
20200611T0000,21.885359,0.0,4.336678,227.48956
20200611T0100,21.315357,0.0,2.9784427,243.43495
20200611T0200,21.045359,0.0,1.6848617,288.43494
20200611T0300,20.865358,0.0,2.4560864,12.528793
20200611T0400,20.825357,0.0,4.5366282,40.236343
20200611T0500,20.655357,0.0,5.6637416,48.81407
20200611T0600,20.335358,0.0,6.0397053,48.576324
20200611T0700,21.365358,0.0,4.897704,44.999985
20200611T0800,24.045359,0.0,6.354631,56.976128
20200611T0900,26.035358,0.0,7.920641,70.346176
20200611T1000,27.225357,0.0,7.766828,84.09385
20200611T1100,28.185358,0.0,6.5903726,104.03624
20200611T1200,29.035358,0.0,5.9865956,122.27564
20200611T1300,29.705359,0.0,5.842608,136.84761
20200611T1400,30.065357,0.0,7.53493,135.0
20200611T1500,28.535358,0.0,8.360887,149.34933
20200611T1600,28.425358,0.0,8.955161,157.24902
20200611T1700,27.985357,0.0,9.770018,168.99646
20200611T1800,27.415358,0.0,10.123199,180.0
20200611T1900,26.395357,0.0,10.084568,192.20047
20200611T2000,25.035358,0.0,8.762899,199.53665
20200611T2100,24.065357,0.2,6.0865254,203.1986
20200611T2200,23.555359,0.5,4.598777,190.00798
20200611T2300,22.785358,0.3,4.652476,166.75948
20200612T0000,21.875359,0.2,4.4097047,154.98311
20200612T0100,21.245358,0.1,4.72062,163.61046
20200612T0200,20.465359,0.0,4.212154,161.56505
20200612T0300,19.785358,0.0,3.5039446,171.25385
20200612T0400,20.455359,0.0,6.595754,43.36342
20200612T0500,19.945358,0.0,6.5795946,68.62937
20200612T0600,19.695358,0.0,5.8668513,87.39744
20200612T0700,20.845358,0.0,6.4046907,106.92751
20200612T0800,22.065357,0.0,7.463956,124.82449
20200612T0900,23.035358,0.0,9.092791,148.17255
20200612T1000,23.895357,0.0,9.77365,162.55281
20200612T1100,24.845358,0.0,9.770018,168.99646
20200612T1200,25.835358,0.0,9.722688,170.53767
20200612T1300,26.825357,0.0,9.682458,172.09283
20200612T1400,27.605358,0.0,10.511835,171.25385
20200612T1500,27.745358,0.0,11.504656,174.68546
20200612T1600,27.265358,0.0,14.770192,172.74681
20200612T1700,26.755358,0.2,14.939793,183.06648
20200612T1800,26.645357,0.0,12.831524,184.76364
20200612T1900,25.825357,0.2,12.787201,180.0
20200612T2000,24.315357,0.0,13.852799,180.0
20200612T2100,22.845358,0.2,14.425013,184.23639
20200612T2200,22.055359,1.2,13.977751,187.66681
20200612T2300,21.295359,1.5,11.987999,180.0
20200613T0000,20.635359,1.2,9.885558,165.96376
20200613T0100,20.135359,0.2,4.7952,180.0
20200613T0200,19.935358,0.0,2.8318708,228.81409
20200613T0300,19.705359,0.0,3.7105224,201.0375
20200613T0400,19.435358,0.0,4.802594,123.69006
20200613T0500,19.125359,0.0,6.4046907,106.92751
20200613T0600,19.215359,0.0,5.600739,115.34617
20200613T0700,20.335358,0.0,6.074855,127.874985
20200613T0800,21.435358,0.0,7.7256002,133.60281
20200613T0900,22.235357,0.0,9.9997635,138.2397
20200613T1000,22.865358,0.0,10.196545,146.72511
20200613T1100,23.665358,0.0,9.795408,157.61986
20200613T1200,24.425358,0.0,10.403253,166.67546
20200613T1300,24.985357,0.0,10.345105,168.11134
20200613T1400,25.475357,0.0,10.248613,171.02737
20200613T1500,25.775358,0.0,9.682458,172.09283
20200613T1600,25.795359,0.0,13.226432,170.7274
20200613T1700,25.495358,0.0,13.586399,180.0
20200613T1800,24.955359,0.0,13.010035,190.61966
20200613T1900,24.655357,0.0,11.541609,198.85316
20200613T2000,23.785358,0.0,7.2125063,184.23639
20200613T2100,22.725357,0.3,7.730192,181.97493
20200613T2200,22.195358,0.0,8.326864,187.35239
20200613T2300,21.675358,0.0,8.726379,192.33908
20200614T0000,21.135359,0.0,8.677445,197.8787
20200614T0100,20.525358,0.3,8.528961,194.47029
20200614T0200,20.285358,0.0,9.35819,184.8991
20200614T0300,20.185358,0.0,10.709147,185.71059
20200614T0400,20.035358,0.0,3.8788424,195.9454
20200614T0500,19.905357,0.2,4.802594,183.17982
20200614T0600,19.875359,0.0,8.5248,180.0
20200614T0700,20.345358,0.0,9.5904,180.0
20200614T0800,20.685358,0.0,10.669312,177.13759
20200614T0900,20.545359,0.0,13.061753,168.2317
20200614T1000,20.365358,0.0,13.698245,166.50427
20200614T1100,20.165358,0.0,13.73188,161.91655
20200614T1200,20.755358,0.0,12.889466,161.93953
20200614T1300,21.075357,0.0,12.814919,159.30455
20200614T1400,21.715359,0.0,12.875693,155.55605
20200614T1500,22.365358,0.0,12.756638,151.29404
20200614T1600,22.375359,0.0,15.35213,141.34018
20200614T1700,22.135359,0.0,13.615099,149.42078
20200614T1800,21.845358,0.0,12.7927475,148.627
20200614T1900,21.525358,0.0,12.199259,148.3925
20200614T2000,20.835358,0.0,9.605188,146.30994
20200614T2100,20.125359,0.0,8.322602,140.19443
20200614T2200,19.685358,0.0,7.7256002,136.39719
20200614T2300,19.255358,0.0,7.544342,137.8624
20200615T0000,18.925358,0.0,6.791894,138.17982
20200615T0100,18.635359,0.0,6.448861,141.70984
20200615T0200,18.465359,0.0,5.8668513,140.52753
20200615T0300,18.115358,0.0,4.713097,137.2906
20200615T0400,18.215359,0.0,5.986595,69.14554
20200615T0500,18.345358,0.0,5.9865956,57.72435
20200615T0600,18.335358,0.0,6.66,53.130096
20200615T0700,19.565357,0.0,7.463956,55.1755
20200615T0800,20.785358,0.0,8.172013,70.97439
20200615T0900,21.285358,0.0,6.399148,92.38594
20200615T1000,21.835358,0.0,5.394189,110.22486
20200615T1100,22.305359,0.0,5.485512,119.054596
20200615T1200,22.625359,0.0,5.9865956,122.27564
20200615T1300,22.425358,0.0,6.448861,128.29016
20200615T1400,22.425358,0.0,6.4046903,135.0
20200615T1500,22.345358,0.0,7.093447,145.71312
20200615T1600,22.815357,0.0,7.619226,143.53076
20200615T1700,23.715359,0.0,6.2419515,140.19443
20200615T1800,23.775358,0.0,7.0331616,142.69604
20200615T1900,23.435358,0.0,6.4433565,150.25511
20200615T2000,22.645357,0.0,6.791894,168.69006
20200615T2100,21.685358,0.0,5.8608,180.0
20200615T2200,20.905357,0.0,4.912173,192.52881
20200615T2300,20.365358,0.0,4.295571,209.74489
20200616T0000,19.875359,0.0,3.700947,239.74356
20200616T0100,19.255358,0.0,4.5288,270.0
20200616T0200,18.495358,0.0,4.552245,290.55603
20200616T0300,17.775358,0.0,4.066419,301.6075
20200616T0400,17.565357,0.0,7.0533133,349.11447
20200616T0500,17.315357,0.0,6.7077804,353.15723
20200616T0600,17.525358,0.1,6.6653256,357.7094
20200616T0700,18.675358,0.0,6.415762,4.7636414
20200616T0800,19.765358,0.0,6.415762,41.63353
20200616T0900,20.665358,0.3,10.685928,85.710846
20200616T1000,20.085358,0.2,12.175966,100.0806
20200616T1100,19.505358,0.7,5.9865956,122.27564
20200616T1200,21.395357,0.0,3.118132,199.98311
20200616T1300,21.485357,0.0,4.13564,255.06857
20200616T1400,21.225357,0.0,4.802594,303.69006
20200616T1500,20.785358,0.2,6.287266,306.38437
20200616T1600,21.945358,0.0,6.66,89.99999
20200616T1700,23.475357,0.0,6.2191706,133.26428
20200616T1800,23.785358,0.0,5.3079824,162.47443
20200616T1900,23.745358,0.0,5.7507854,193.3925
20200616T2000,23.175358,0.0,6.354631,213.02386
20200616T2100,22.215359,0.0,6.2419515,219.80557
20200616T2200,21.375359,0.0,6.823169,231.3402
20200616T2300,20.435358,0.0,7.835059,234.68878
20200617T0000,19.535358,0.0,8.360887,239.34933
20200617T0100,18.965359,0.0,8.935328,243.43495
20200617T0200,18.365358,0.0,8.762899,250.46335
20200617T0300,17.675358,0.0,8.150272,258.69006
20200617T0400,17.365358,0.0,4.5600333,276.70984
20200617T0500,17.085358,0.0,3.207881,274.76364
20200617T0600,17.295359,0.0,2.9304,270.0
20200617T0700,18.755358,0.0,2.5132127,237.99463
20200617T0800,20.605358,0.0,3.2518265,214.99202
20200617T0900,22.185358,0.0,4.824709,186.3402
20200617T1000,23.285358,0.0,6.5308766,168.2317
20200617T1100,23.985357,0.0,8.819409,154.98311
20200617T1200,23.705359,0.0,10.84415,152.1759
20200617T1300,24.205359,0.0,12.271761,152.8787
20200617T1400,24.265358,0.0,12.395474,151.78264
20200617T1500,24.155357,0.0,12.395474,151.78264
20200617T1600,23.945358,0.0,14.316367,135.0
20200617T1700,23.725357,0.0,12.061772,136.7899
20200617T1800,23.515358,0.0,11.115618,135.97101
20200617T1900,23.165358,0.0,11.15386,139.844
20200617T2000,22.545359,0.0,10.420293,147.52881
20200617T2100,21.825357,0.0,8.726379,148.73627
20200617T2200,21.435358,0.0,7.684151,146.30994
20200617T2300,21.055359,0.0,6.2191706,136.7357
20200618T0000,20.935358,0.0,4.765508,116.56505
20200618T0100,20.815357,0.0,4.5366287,86.63353
20200618T0200,20.565357,0.0,5.842608,65.772255
20200618T0300,20.095358,0.0,7.093447,55.71312
20200618T0400,19.925358,0.0,8.014169,74.577835
20200618T0500,19.615358,0.0,8.819409,64.98311
20200618T0600,19.455359,0.0,9.9855585,46.080917
20200618T0700,20.765358,0.0,11.67914,44.999985
20200618T0800,21.915358,0.0,12.574532,53.61563
20200618T0900,22.785358,0.0,13.159189,68.62937
20200618T1000,23.565357,0.0,11.990959,88.72697
20200618T1100,23.115358,0.0,10.870295,107.10272
20200618T1200,24.745358,0.0,9.780908,119.35776
20200618T1300,25.795359,0.0,9.112282,142.12502
20200618T1400,26.635359,0.0,7.3150935,169.50853
20200618T1500,27.225357,0.0,5.651197,171.8699
20200618T1600,27.505358,0.0,4.890454,150.64224
20200618T1700,27.415358,0.0,5.089565,132.8789
20200618T1800,27.115358,0.0,5.2542295,120.465546
20200618T1900,26.595358,0.0,4.9553266,126.25384
20200618T2000,25.835358,0.0,3.0374274,142.12502
20200618T2100,24.745358,0.0,1.5984001,180.0
20200618T2200,23.805359,0.0,1.9210378,236.30994
20200618T2300,23.265358,0.0,2.9424841,264.80557